"use_type_path";"attribute_name";"value_name";"external_id"
"Farming/Cereals/TRIGO DURO";"Permanent pasture";"NO";"ter_attr_cultivo_3_permanent_pasture_val"
"Farming/Cereals/TRIGO DURO";"Forest";"NO";"ter_attr_cultivo_3_forest_val"
"Farming/Cereals/TRIGO DURO";"Legumes";"NO";"ter_attr_cultivo_3_legumes_val"
"Farming/Cereals/TRIGO DURO";"Unharvested zone cereals legumes oilseeds";"SI";"ter_attr_cultivo_3_unharvested_zone_cereals_legumes_oilseed_val"
"Farming/Cereals/TRIGO DURO";"Integrated";"SI";"ter_attr_cultivo_3_integrated_val"
"Farming/Cereals/MAÍZ";"Latin";"Zea mays";"ter_attr_cultivo_4_latin_val"
"Farming/Cereals/MAÍZ";"EPPO";"ZEAMX";"ter_attr_cultivo_4_eppo_val"
"Farming/Cereals/MAÍZ";"C. UPOV";"ZEAAA_MAY_GMA";"ter_attr_cultivo_4_c_upov_val"
"Farming/Cereals/MAÍZ";"Horticultural";"NO";"ter_attr_cultivo_4_horticultural_val"
"Farming/Cereals/MAÍZ";"Energetic";"SI";"ter_attr_cultivo_4_energetic_val"
"Farming/Cereals/MAÍZ";"Fruit tree";"NO";"ter_attr_cultivo_4_fruit_tree_val"
"Farming/Cereals/MAÍZ";"Shell fruits";"NO";"ter_attr_cultivo_4_shell_fruits_val"
"Farming/Cereals/MAÍZ";"Aromatic condiment medicinal";"NO";"ter_attr_cultivo_4_aromatic_condiment_medicinal_val"
"Farming/Cereals/MAÍZ";"Direct sowing";"SI";"ter_attr_cultivo_4_direct_sowing_val"
"Farming/Cereals/MAÍZ";"Improving species";"NO";"ter_attr_cultivo_4_improving_species_val"
"Farming/Cereals/MAÍZ";"Short-cycle forestry";"NO";"ter_attr_cultivo_4_shortcycle_forestry_val"
"Farming/Cereals/MAÍZ";"Woody";"NO";"ter_attr_cultivo_4_woody_val"
"Farming/Cereals/MAÍZ";"Cropland";"SI";"ter_attr_cultivo_4_cropland_val"
"Farming/Cereals/MAÍZ";"Permanent crops";"NO";"ter_attr_cultivo_4_permanent_crops_val"
"Farming/Cereals/MAÍZ";"Permanent pasture";"NO";"ter_attr_cultivo_4_permanent_pasture_val"
"Farming/Cereals/MAÍZ";"Forest";"NO";"ter_attr_cultivo_4_forest_val"
"Farming/Cereals/MAÍZ";"Legumes";"NO";"ter_attr_cultivo_4_legumes_val"
"Farming/Cereals/MAÍZ";"Unharvested zone cereals legumes oilseeds";"SI";"ter_attr_cultivo_4_unharvested_zone_cereals_legumes_oilseed_val"
"Farming/Cereals/MAÍZ";"Integrated";"SI";"ter_attr_cultivo_4_integrated_val"
"Farming/Cereals/CEBADA";"Latin";"Hordeum vulgare";"ter_attr_cultivo_5_latin_val"
"Farming/Cereals/CEBADA";"EPPO";"HORVX";"ter_attr_cultivo_5_eppo_val"
"Farming/Cereals/CEBADA";"C. UPOV";"HORDE_VUL";"ter_attr_cultivo_5_c_upov_val"
"Farming/Cereals/CEBADA";"Horticultural";"NO";"ter_attr_cultivo_5_horticultural_val"
"Farming/Cereals/CEBADA";"Energetic";"SI";"ter_attr_cultivo_5_energetic_val"
"Farming/Cereals/CEBADA";"Fruit tree";"NO";"ter_attr_cultivo_5_fruit_tree_val"
"Farming/Cereals/CEBADA";"Shell fruits";"NO";"ter_attr_cultivo_5_shell_fruits_val"
"Farming/Cereals/CEBADA";"Aromatic condiment medicinal";"NO";"ter_attr_cultivo_5_aromatic_condiment_medicinal_val"
"Farming/Cereals/CEBADA";"Direct sowing";"SI";"ter_attr_cultivo_5_direct_sowing_val"
"Farming/Cereals/CEBADA";"Improving species";"NO";"ter_attr_cultivo_5_improving_species_val"
