"use_type_path";"attribute_name";"value_name"
"Farming/Other/TRANQUILLÓN";"Cropland";"SI"
"Farming/Other/TRANQUILLÓN";"Permanent crops";"NO"
"Farming/Other/TRANQUILLÓN";"Permanent pasture";"NO"
"Farming/Other/TRANQUILLÓN";"Forest";"NO"
"Farming/Other/TRANQUILLÓN";"Legumes";"NO"
"Farming/Other/TRANQUILLÓN";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Other/TRANQUILLÓN";"Integrated";"SI"
"Farming/Cereals/TRITICALE";"Latin";"x Triticosecale Wittm. ex A. Camus"
"Farming/Cereals/TRITICALE";"EPPO";"1TTLG"
"Farming/Cereals/TRITICALE";"C. UPOV";"TRITL"
"Farming/Cereals/TRITICALE";"Horticultural";"NO"
"Farming/Cereals/TRITICALE";"Energetic";"SI"
"Farming/Cereals/TRITICALE";"Fruit tree";"NO"
"Farming/Cereals/TRITICALE";"Shell fruits";"NO"
"Farming/Cereals/TRITICALE";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/TRITICALE";"Direct sowing";"SI"
"Farming/Cereals/TRITICALE";"Improving species";"NO"
"Farming/Cereals/TRITICALE";"Short-cycle forestry";"NO"
"Farming/Cereals/TRITICALE";"Woody";"NO"
"Farming/Cereals/TRITICALE";"Cropland";"SI"
"Farming/Cereals/TRITICALE";"Permanent crops";"NO"
"Farming/Cereals/TRITICALE";"Permanent pasture";"NO"
"Farming/Cereals/TRITICALE";"Forest";"NO"
"Farming/Cereals/TRITICALE";"Legumes";"NO"
"Farming/Cereals/TRITICALE";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/TRITICALE";"Integrated";"SI"
"Farming/Cereals/TRITORDEUM";"Latin";"Tritordeum sp."
"Farming/Cereals/TRITORDEUM";"EPPO";"TTOSS"
"Farming/Cereals/TRITORDEUM";"C. UPOV";"TRITR"
"Farming/Cereals/TRITORDEUM";"Horticultural";"NO"
"Farming/Cereals/TRITORDEUM";"Energetic";"SI"
"Farming/Cereals/TRITORDEUM";"Fruit tree";"NO"
"Farming/Cereals/TRITORDEUM";"Shell fruits";"NO"
"Farming/Cereals/TRITORDEUM";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/TRITORDEUM";"Direct sowing";"SI"
"Farming/Cereals/TRITORDEUM";"Improving species";"NO"
"Farming/Cereals/TRITORDEUM";"Short-cycle forestry";"NO"
"Farming/Cereals/TRITORDEUM";"Woody";"NO"
"Farming/Cereals/TRITORDEUM";"Cropland";"SI"
"Farming/Cereals/TRITORDEUM";"Permanent crops";"NO"
"Farming/Cereals/TRITORDEUM";"Permanent pasture";"NO"
"Farming/Cereals/TRITORDEUM";"Forest";"NO"
"Farming/Cereals/TRITORDEUM";"Legumes";"NO"
"Farming/Cereals/TRITORDEUM";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/TRITORDEUM";"Integrated";"SI"
"Farming/Cereals/TEFF";"Latin";"Eragrostis tef"
"Farming/Cereals/TEFF";"EPPO";"ERATF"
"Farming/Cereals/TEFF";"C. UPOV";"ERAGR_TEF"
"Farming/Cereals/TEFF";"Horticultural";"NO"
"Farming/Cereals/TEFF";"Energetic";"NO"
