"use_type_path";"attribute_name"
"Farming/Oilseeds and Industrial/CAMELINA";"Energetic"
"Farming/Oilseeds and Industrial/CAMELINA";"Fruit tree"
"Farming/Oilseeds and Industrial/CAMELINA";"Shell fruits"
"Farming/Oilseeds and Industrial/CAMELINA";"Aromatic condiment medicinal"
"Farming/Oilseeds and Industrial/CAMELINA";"Direct sowing"
"Farming/Oilseeds and Industrial/CAMELINA";"Improving species"
"Farming/Oilseeds and Industrial/CAMELINA";"Short-cycle forestry"
"Farming/Oilseeds and Industrial/CAMELINA";"Woody"
"Farming/Oilseeds and Industrial/CAMELINA";"Cropland"
"Farming/Oilseeds and Industrial/CAMELINA";"Permanent crops"
"Farming/Oilseeds and Industrial/CAMELINA";"Permanent pasture"
"Farming/Oilseeds and Industrial/CAMELINA";"Forest"
"Farming/Oilseeds and Industrial/CAMELINA";"Legumes"
"Farming/Oilseeds and Industrial/CAMELINA";"Unharvested zone cereals legumes oilseeds"
"Farming/Oilseeds and Industrial/CAMELINA";"Integrated"
"Farming/Legumes (grain)/GUISANTE";"Latin"
"Farming/Legumes (grain)/GUISANTE";"EPPO"
"Farming/Legumes (grain)/GUISANTE";"C. UPOV"
"Farming/Legumes (grain)/GUISANTE";"Horticultural"
"Farming/Legumes (grain)/GUISANTE";"Energetic"
"Farming/Legumes (grain)/GUISANTE";"Fruit tree"
"Farming/Legumes (grain)/GUISANTE";"Shell fruits"
"Farming/Legumes (grain)/GUISANTE";"Aromatic condiment medicinal"
"Farming/Legumes (grain)/GUISANTE";"Direct sowing"
"Farming/Legumes (grain)/GUISANTE";"Improving species"
"Farming/Legumes (grain)/GUISANTE";"Short-cycle forestry"
"Farming/Legumes (grain)/GUISANTE";"Woody"
"Farming/Legumes (grain)/GUISANTE";"Cropland"
"Farming/Legumes (grain)/GUISANTE";"Permanent crops"
"Farming/Legumes (grain)/GUISANTE";"Permanent pasture"
"Farming/Legumes (grain)/GUISANTE";"Forest"
"Farming/Legumes (grain)/GUISANTE";"Legumes"
"Farming/Legumes (grain)/GUISANTE";"Unharvested zone cereals legumes oilseeds"
"Farming/Legumes (grain)/GUISANTE";"Integrated"
"Farming/Legumes (grain)/HABA";"Latin"
"Farming/Legumes (grain)/HABA";"EPPO"
"Farming/Legumes (grain)/HABA";"C. UPOV"
"Farming/Legumes (grain)/HABA";"Horticultural"
"Farming/Legumes (grain)/HABA";"Energetic"
"Farming/Legumes (grain)/HABA";"Fruit tree"
"Farming/Legumes (grain)/HABA";"Shell fruits"
"Farming/Legumes (grain)/HABA";"Aromatic condiment medicinal"
"Farming/Legumes (grain)/HABA";"Direct sowing"
"Farming/Legumes (grain)/HABA";"Improving species"
"Farming/Legumes (grain)/HABA";"Short-cycle forestry"
"Farming/Legumes (grain)/HABA";"Woody"
"Farming/Legumes (grain)/HABA";"Cropland"
"Farming/Legumes (grain)/HABA";"Permanent crops"
"Farming/Legumes (grain)/HABA";"Permanent pasture"
"Farming/Legumes (grain)/HABA";"Forest"
"Farming/Legumes (grain)/HABA";"Legumes"
"Farming/Legumes (grain)/HABA";"Unharvested zone cereals legumes oilseeds"
"Farming/Legumes (grain)/HABA";"Integrated"
"Farming/Legumes (grain)/ALTRAMUZ BLANCO";"Latin"
"Farming/Legumes (grain)/ALTRAMUZ BLANCO";"EPPO"
"Farming/Legumes (grain)/ALTRAMUZ BLANCO";"C. UPOV"
"Farming/Legumes (grain)/ALTRAMUZ BLANCO";"Horticultural"
"Farming/Legumes (grain)/ALTRAMUZ BLANCO";"Energetic"
